id,instance_id,user_id,status,waitlist,created_at,updated_at,sync_completed_on,async_completed_on,waitlisted_on,enrolled_on,canceled_on,absent_on,async_active_on
4389,233,894,waitlist,3,2023-04-07 14:04:13.991182,2023-04-13 23:08:44.239434,,,,,,,
4390,232,1291,enroll,,2023-04-07 14:06:12.554171,2023-04-07 14:06:12.554171,,,,,,,
4391,232,1224,enroll,,2023-04-07 14:17:06.650504,2023-04-07 14:17:06.650504,,,,,,,
4392,231,1270,cancel,,2023-04-07 14:29:52.768330,2023-04-10 19:04:21.910889,,,,,,,
4393,231,1293,cancel,,2023-04-07 14:55:26.068629,2023-04-11 17:44:24.241163,,,,,,,
4394,233,1294,waitlist,4,2023-04-07 15:01:24.544090,2023-04-13 23:08:44.248827,,,,,,,
4395,183,1293,enroll,,2023-04-07 15:10:47.016469,2023-04-07 15:10:47.016469,,,,,,,
4396,233,1003,waitlist,5,2023-04-07 15:17:40.526535,2023-04-13 23:08:44.255034,,,,,,,
4397,231,1003,cancel,,2023-04-07 15:20:44.666786,2023-04-11 16:39:29.683356,,,,,,,
4398,233,1150,waitlist,6,2023-04-07 15:21:56.756373,2023-04-13 23:08:44.262554,,,,,,,
4399,233,886,waitlist,7,2023-04-07 15:29:08.156892,2023-04-13 23:08:44.271343,,,,,,,
4400,231,886,enroll,,2023-04-07 15:30:26.599221,2023-04-07 15:30:26.599221,,,,,,,
4401,233,889,waitlist,8,2023-04-07 15:31:41.920998,2023-04-13 23:08:44.276656,,,,,,,
4402,233,103,waitlist,9,2023-04-07 15:34:04.173193,2023-04-13 23:08:44.282248,,,,,,,
4403,197,1293,active,,2023-04-07 16:39:23.558986,2023-04-07 16:39:25.345130,,,,,,,
4404,233,1296,waitlist,10,2023-04-07 16:45:01.107344,2023-04-13 23:08:44.288962,,,,,,,
4405,233,467,waitlist,11,2023-04-07 16:48:57.607926,2023-04-13 23:08:44.294733,,,,,,,
4406,232,1259,enroll,,2023-04-07 16:58:07.335972,2023-04-07 16:58:07.335972,,,,,,,
4407,229,1297,attend,,2023-04-07 17:08:37.892034,2023-09-20 14:31:41.493761,2023-04-07 22:08:31.243585,,,,,,
4408,229,1298,enroll,,2023-04-07 17:19:22.575603,2023-04-07 17:19:22.575603,,,,,,,
4409,229,1299,enroll,,2023-04-07 17:21:34.011966,2023-04-07 17:21:34.011966,,,,,,,
4410,233,1232,waitlist,12,2023-04-07 17:34:28.112432,2023-04-13 23:08:44.301767,,,,,,,
4411,233,984,waitlist,13,2023-04-07 18:01:00.318676,2023-04-13 23:08:44.308616,,,,,,,
4412,233,1257,waitlist,14,2023-04-07 18:07:23.307917,2023-04-13 23:08:44.314534,,,,,,,
4413,229,467,enroll,,2023-04-07 19:54:49.743289,2023-04-07 21:36:30.911827,,,,,,,
4414,233,981,waitlist,15,2023-04-07 20:19:24.353662,2023-04-13 23:08:44.320054,,,,,,,
4415,233,1300,waitlist,16,2023-04-07 20:30:29.628407,2023-04-13 23:08:44.325719,,,,,,,
4416,231,920,enroll,,2023-04-07 20:31:10.500253,2023-04-07 20:31:10.500253,,,,,,,
4417,231,1300,cancel,,2023-04-07 20:31:20.913226,2023-04-10 19:58:02.024397,,,,,,,
4418,233,920,waitlist,17,2023-04-07 20:35:08.394398,2023-04-13 23:08:44.331931,,,,,,,
4419,100,1301,active,,2023-04-07 20:54:53.415742,2023-04-07 20:54:55.689085,,,,,,,
4420,233,1014,waitlist,18,2023-04-07 21:50:39.944934,2023-04-13 23:08:44.337641,,,,,,,
4421,229,1302,attend,,2023-04-07 22:01:14.178413,2023-09-20 14:31:41.506551,2023-04-07 22:06:06.354906,,,,,,
4422,231,1194,cancel,,2023-04-07 23:45:29.051711,2023-04-11 15:12:01.125900,,,,,,,
4423,232,1303,enroll,,2023-04-08 14:16:35.270621,2023-04-08 14:16:35.270621,,,,,,,
4424,231,1304,enroll,,2023-04-08 16:00:19.238386,2023-04-08 16:00:19.238386,,,,,,,
